寛文1,1661,7,17,長寿院様御死去之事　諫早石見殿内方直茂公御女,冠婚葬祭,,,,,無,諫早直孝後妻,鍋島直茂,諫早直孝,,,,,,1,,2327950.5
寛文1,1661,7,13,鍋島志摩殿死去之事,冠婚葬祭,,,,,無,鍋島茂里,,,,,,,,2,,2327946.5
寛文1,1661,7,23,城州様本行寺へ御葬礼之事,冠婚葬祭,寺社,,,,無,鍋島直弘,,,,,,,,3,,2327956.5
寛文1,1661,7,25,長寿院様御死骸諫早へ御越事,冠婚葬祭,,,,,無,諫早直孝後妻,,,,,,,,4,,2327958.5
寛文1,1661,7,25,月堂様え御燈爐被相進候御方之事,冠婚葬祭,寺社,,,,無,鍋島元茂,,,,,,,,5,,2327958.5
寛文1,1661,7,25,南祥院様御塔前へ右同断事,冠婚葬祭,寺社,,,,無,鍋島直能前妻,,,,,,,,6,,2327958.5
寛文1,1661,7,25,月堂様御塔前へ御拝塔之衆之事,冠婚葬祭,寺社,,,,無,鍋島元茂,,,,,,,,7,,2327958.5
寛文1,1661,7,29,城州様へ御香典銀子三枚之事,冠婚葬祭,,,,,無,鍋島直弘,,,,,,,,8,,2327962.5
寛文1,1661,7,29,長寿院様御仕合ニ付豊前殿へ御書事,冠婚葬祭,,,,,無,諫早直孝後妻,諫早茂真,,,,,,,9,,2327962.5
寛文1,1661,7,29,右御亡者様へ御名代諫早へ三浦杢之助御香典銀弐枚之事,冠婚葬祭,,,,,無,諫早直孝後妻,三浦杢之助,,,,,,,10,,2327934.5
寛文1,1661,7,29,城州様ゟ直能公へ御遺物棒鞘御脇指一腰目貫一具折紙共ニ翁介殿ゟ被遣候事,冠婚葬祭,,,,,無,鍋島直弘,鍋島直能,,,,,,,11,,2327962.5
寛文1,1661,7,29,左近殿へ御同人御遺物鉄砲壱挺隼一連被遣候事,冠婚葬祭,,,,,無,鍋島直弘,鍋島直朗,,,,,,,12,,2327962.5
寛文1,1661,8,29,鴨打千兵衛へ御免状拝領事,家中,,,,,無,,,,,,,,,13,,2327992.5
寛文1,1661,8,20,光茂公え甲州様より御異見之事,,佐賀藩,,,,無,鍋島光茂,鍋島直澄,,,,,,,14,,2327983.5
寛文1,1661,8,20,美作殿・能登殿御隠居不被仰付御連判え差迦候事,藩主家,佐賀藩,,,,無,多久茂辰,鍋島茂和,,,,,,,15,,2327983.5
寛文1,1661,閏8,20,智徹様御石塔塩田ニて出来今月十二日相立候事,冠婚葬祭,,,,,無,鍋島直将,,,,,,,,16,,2328013.5
延宝5,1677,3,18,直能公為御参勤御発駕之事,藩主家,江戸,,,,無,鍋島直能,,,,,,,,17,,2333680.5
延宝5,1677,3,18,多賀丸様（僧正様御童名）御上京之事,藩主家,上方,,,,無,勝仙院僧正,,,,,,,,18,,2333680.5
延宝5,1677,5,17,松平筑前守殿養子相済候付筑前え御使者之事,他藩,,,,,無,黒田綱政（長寛）,,,,,,,,19,,2333739.5
延宝5,1677,5,25,香月又兵衛被官溺死往来札流失事,家中,支配,,,,無,,,,,,,,,20,,2333747.5
延宝5,1677,5,9,元武公御前髪被為執候事,藩主家,,,,,無,鍋島元武,,,,,,,,21,,2333731.5
延宝5,1677,9,1,お吉良様江戸え御発駕之事,藩主家,,,,,無,三浦明敬妻,,,,,,,,22,,2333841.5
延宝5,1677,3,18,野口久弥・綾部六左衛門銀拝領之事,家中,賞罰,,,,無,,,,,,,,,23,,2333680.5
延宝5,1677,3,18,多賀丸様御上京御供犬塚茂右衛門被仰付候事,藩主家,家中,上方,,,無,勝仙院僧正,,,,,,,,24,,2333680.5
延宝5,1677,3,18,右御上京御供歩行五人被仰付候事,藩主家,家中,上方,,,無,勝仙院僧正,,,,,,,,25,,2333680.5
