■行,,,,名詞,普通名詞,一般,*,*,*,,,■行,,■行,,和,*,*,*,*,OGI_EVENT
〆藁小竹縄,,,,名詞,普通名詞,一般,*,*,*,,,〆藁小竹縄,,〆藁小竹縄,,和,*,*,*,*,OGI_EVENT
あかり,,,,名詞,普通名詞,一般,*,*,*,,,あかり,,あかり,,和,*,*,*,*,OGI_EVENT
あはれミ,,,,名詞,普通名詞,一般,*,*,*,,,あはれミ,,あはれミ,,和,*,*,*,*,OGI_EVENT
あるき,,,,名詞,普通名詞,一般,*,*,*,,,あるき,,あるき,,和,*,*,*,*,OGI_EVENT
いは,,,,名詞,普通名詞,一般,*,*,*,,,いは,,いは,,和,*,*,*,*,OGI_EVENT
えびす,,,,名詞,普通名詞,一般,*,*,*,,,えびす,,えびす,,和,*,*,*,*,OGI_EVENT
おいはぎ,,,,名詞,普通名詞,一般,*,*,*,,,おいはぎ,,おいはぎ,,和,*,*,*,*,OGI_EVENT
おとり狂言,,,,名詞,普通名詞,一般,*,*,*,,,おとり狂言,,おとり狂言,,和,*,*,*,*,OGI_EVENT
おどり,,,,名詞,普通名詞,一般,*,*,*,,,おどり,,おどり,,和,*,*,*,*,OGI_EVENT
おもの木,,,,名詞,普通名詞,一般,*,*,*,,,おもの木,,おもの木,,和,*,*,*,*,OGI_EVENT
かきびせ,,,,名詞,普通名詞,一般,*,*,*,,,かきびせ,,かきびせ,,和,*,*,*,*,OGI_EVENT
かぎ浚,,,,名詞,普通名詞,一般,*,*,*,,,かぎ浚,,かぎ浚,,和,*,*,*,*,OGI_EVENT
かこうき,,,,名詞,普通名詞,一般,*,*,*,,,かこうき,,かこうき,,和,*,*,*,*,OGI_EVENT
かご,,,,名詞,普通名詞,一般,*,*,*,,,かご,,かご,,和,*,*,*,*,OGI_EVENT
かさ,,,,名詞,普通名詞,一般,*,*,*,,,かさ,,かさ,,和,*,*,*,*,OGI_EVENT
かし,,,,名詞,普通名詞,一般,*,*,*,,,かし,,かし,,和,*,*,*,*,OGI_EVENT
かすていら,,,,名詞,普通名詞,一般,*,*,*,,,かすていら,,かすていら,,和,*,*,*,*,OGI_EVENT
かせぎ,,,,名詞,普通名詞,一般,*,*,*,,,かせぎ,,かせぎ,,和,*,*,*,*,OGI_EVENT
かよひ,,,,名詞,普通名詞,一般,*,*,*,,,かよひ,,かよひ,,和,*,*,*,*,OGI_EVENT
からす,,,,名詞,普通名詞,一般,*,*,*,,,からす,,からす,,和,*,*,*,*,OGI_EVENT
からみ,,,,名詞,普通名詞,一般,*,*,*,,,からみ,,からみ,,和,*,*,*,*,OGI_EVENT
かり締切手,,,,名詞,普通名詞,一般,*,*,*,,,かり締切手,,かり締切手,,和,*,*,*,*,OGI_EVENT
かゝみ,,,,名詞,普通名詞,一般,*,*,*,,,かゝみ,,かゝみ,,和,*,*,*,*,OGI_EVENT
くじら,,,,名詞,普通名詞,一般,*,*,*,,,くじら,,くじら,,和,*,*,*,*,OGI_EVENT
くませ,,,,名詞,普通名詞,一般,*,*,*,,,くませ,,くませ,,和,*,*,*,*,OGI_EVENT
けり,,,,名詞,普通名詞,一般,*,*,*,,,けり,,けり,,和,*,*,*,*,OGI_EVENT
こしたい,,,,名詞,普通名詞,一般,*,*,*,,,こしたい,,こしたい,,和,*,*,*,*,OGI_EVENT
こみあけ,,,,名詞,普通名詞,一般,*,*,*,,,こみあけ,,こみあけ,,和,*,*,*,*,OGI_EVENT
こんぶ,,,,名詞,普通名詞,一般,*,*,*,,,こんぶ,,こんぶ,,和,*,*,*,*,OGI_EVENT
さうめん,,,,名詞,普通名詞,一般,*,*,*,,,さうめん,,さうめん,,和,*,*,*,*,OGI_EVENT
