100年,,,,名詞,普通名詞,一般,*,*,*,,100年,100年,,100年,,和,*,*,*,*,OGI_DATE
10年,,,,名詞,普通名詞,一般,*,*,*,,10年,10年,,10年,,和,*,*,*,*,OGI_DATE
10日,,,,名詞,普通名詞,一般,*,*,*,,10日,10日,,10日,,和,*,*,*,*,OGI_DATE
10月,,,,名詞,普通名詞,一般,*,*,*,,10月,10月,,10月,,和,*,*,*,*,OGI_DATE
11日,,,,名詞,普通名詞,一般,*,*,*,,11日,11日,,11日,,和,*,*,*,*,OGI_DATE
11月,,,,名詞,普通名詞,一般,*,*,*,,11月,11月,,11月,,和,*,*,*,*,OGI_DATE
12日,,,,名詞,普通名詞,一般,*,*,*,,12日,12日,,12日,,和,*,*,*,*,OGI_DATE
12月,,,,名詞,普通名詞,一般,*,*,*,,12月,12月,,12月,,和,*,*,*,*,OGI_DATE
13日,,,,名詞,普通名詞,一般,*,*,*,,13日,13日,,13日,,和,*,*,*,*,OGI_DATE
14日,,,,名詞,普通名詞,一般,*,*,*,,14日,14日,,14日,,和,*,*,*,*,OGI_DATE
15日,,,,名詞,普通名詞,一般,*,*,*,,15日,15日,,15日,,和,*,*,*,*,OGI_DATE
16日,,,,名詞,普通名詞,一般,*,*,*,,16日,16日,,16日,,和,*,*,*,*,OGI_DATE
17日,,,,名詞,普通名詞,一般,*,*,*,,17日,17日,,17日,,和,*,*,*,*,OGI_DATE
18日,,,,名詞,普通名詞,一般,*,*,*,,18日,18日,,18日,,和,*,*,*,*,OGI_DATE
19日,,,,名詞,普通名詞,一般,*,*,*,,19日,19日,,19日,,和,*,*,*,*,OGI_DATE
1日,,,,名詞,普通名詞,一般,*,*,*,,1日,1日,,1日,,和,*,*,*,*,OGI_DATE
1月,,,,名詞,普通名詞,一般,*,*,*,,1月,1月,,1月,,和,*,*,*,*,OGI_DATE
205年,,,,名詞,普通名詞,一般,*,*,*,,205年,205年,,205年,,和,*,*,*,*,OGI_DATE
